team,year,league,pca1,pca2,pca3,pca4,Over 500,Champion,Playoffs,Playoff Win,Final 2
WA1,1985,N,-1.316190432,0.834931535,0.865464789,0.332747144,0,0,1,0,0
ATL,1986,N,-2.444374677,-0.461186792,-1.657305047,0.448740438,1,0,1,1,0
BOS,1986,N,-1.184313771,-0.618713102,1.463298004,0.157927446,1,0,1,1,1
CHI,1986,N,-0.900623145,-0.123540459,-0.184957181,-0.065853317,0,0,1,0,0
CLE,1986,N,-2.390707448,0.705081703,0.37026327,0.262821917,0,0,0,0,0
DAL,1986,N,-3.002832348,-1.148528725,0.049808877,0.879056166,1,0,1,0,0
DEN,1986,N,-4.69008091,-1.421361224,-1.824973698,-0.184598291,0,0,1,0,0
DET,1986,N,-2.894662335,-0.556858613,-1.274707462,0.428110427,1,0,1,1,0
GSW,1986,N,-3.325309578,-0.92633468,-1.387731133,-0.166402897,1,0,1,1,0
HOU,1986,N,-2.11094296,-0.146790164,-0.166420607,-0.167980028,1,0,1,1,0
IND,1986,N,-1.818456837,-0.383826964,-0.986611994,-0.896202422,0,0,1,0,0
LAC,1986,N,-3.308136194,0.165426513,-0.815701766,-0.203680923,0,0,0,0,0
LAL,1986,N,-2.956313799,-0.621854784,0.444726711,0.456534768,1,1,1,1,1
MIL,1986,N,-2.826547901,-0.298546099,-2.421360701,-0.308364454,1,0,1,1,0
NJN,1986,N,-3.708095439,-0.318672703,-3.684114617,-0.184009667,0,0,0,0,0
NYK,1986,N,-1.961686744,-0.094048252,-0.954712457,-0.831761143,0,0,0,0,0
PHI,1986,N,-1.779428768,0.639903341,0.443480518,0.600582531,1,0,1,0,0
PHO,1986,N,-3.304434384,-0.568163467,-0.887338593,-0.26362517,0,0,0,0,0
POR,1986,N,-4.536275572,-0.934119087,-1.651175998,0.517663985,1,0,1,0,0
SAC,1986,N,-2.961265784,-1.034702004,-0.690613207,0.259965718,0,0,0,0,0
SAS,1986,N,-2.512894687,-0.389659699,0.240687191,-0.747511176,0,0,0,0,0
SEA,1986,N,-3.826144503,-0.735097286,-1.92003742,-0.370616043,0,0,1,1,0
UTA,1986,N,-3.355222309,0.601741988,-0.462526351,0.096276737,1,0,1,0,0
WA1,1986,N,-2.476264121,0.937942101,0.61269163,0.933488007,1,0,1,0,0
ATL,1987,N,-1.66604969,-0.461913382,-1.03692992,0.19157395,1,0,1,1,0
BOS,1987,N,-1.264978649,-0.971446082,0.281915209,-0.077051822,1,0,1,1,0
CHI,1987,N,-0.571431775,-0.108750937,0.272364601,-0.128875226,1,0,1,1,0
CLE,1987,N,-0.931192393,0.489479558,0.106164489,0.242252251,1,0,1,0,0
DAL,1987,N,-1.461813484,-0.343529675,1.186492611,0.971060894,1,0,1,1,0
DEN,1987,N,-3.61003446,-0.57243611,-0.065205717,-0.300258574,1,0,1,1,0
DET,1987,N,-1.70117605,-0.669399164,-0.654810037,0.320474138,1,0,1,1,1
GSW,1987,N,-2.543675025,-0.580718947,-1.291146415,-1.079327662,0,0,0,0,0
HOU,1987,N,-2.446011652,-0.035033827,0.146880656,0.163104204,1,0,1,0,0
IND,1987,N,-0.819071642,-0.26472613,-0.341481781,-1.033813283,0,0,0,0,0
LAC,1987,N,-2.233625246,0.913786631,0.243373665,-0.216883387,0,0,0,0,0
LAL,1987,N,-1.660702378,-0.609603376,1.206412949,0.447653755,1,1,1,1,1
MIL,1987,N,-1.560693009,-0.480042373,-0.698959062,-0.132350633,1,0,1,0,0
NJN,1987,N,-1.236336465,0.599415139,-1.415515714,-0.579563568,0,0,0,0,0
NYK,1987,N,-2.511265484,0.248443846,-2.771796581,-1.087383748,0,0,1,0,0
PHI,1987,N,-1.664317788,-0.115508819,-0.477872012,0.884775659,0,0,0,0,0
PHO,1987,N,-2.247581937,-0.734536248,-0.494808296,-0.721132185,0,0,0,0,0
POR,1987,N,-3.661277667,-1.30440218,-1.321839961,0.111650264,1,0,1,0,0
SAC,1987,N,-2.586237577,0.023227479,0.358886975,0.33359356,0,0,0,0,0
SAS,1987,N,-3.87473349,-0.496575136,0.315056709,0.115651359,0,0,1,0,0
SEA,1987,N,-3.111433013,-0.566370447,-2.946076625,-0.723777801,1,0,1,0,0
UTA,1987,N,-2.895546193,0.60217969,-0.436126471,0.410675569,1,0,1,1,0
WA1,1987,N,-2.012686931,0.556723495,-0.087469786,0.458461797,0,0,1,0,0
ATL,1988,N,-2.638433162,-0.170290524,-0.611654022,0.589437709,1,0,1,0,0
BOS,1988,N,-1.527101146,-0.58891608,-0.071025564,0.002597054,1,0,1,0,0
CHA,1988,N,-1.983982343,-0.514006859,-0.866785618,-1.470474557,0,0,0,0,0
CHI,1988,N,-0.437478657,-0.270457246,0.467235169,-0.374347908,1,0,1,1,0
CLE,1988,N,-0.857139509,0.513930551,2.068383964,0.85383315,1,0,1,0,0
DAL,1988,N,-0.393444538,-0.123865027,0.992382449,0.425775027,0,0,0,0,0
DEN,1988,N,-4.253663926,-0.692354097,-0.317717446,-0.166911738,1,0,1,0,0
DET,1988,N,-0.709577245,-0.62627375,-0.676113847,0.127674835,1,1,1,1,1
GSW,1988,N,-4.800877561,0.631010877,0.600232494,0.955886662,1,0,1,1,0
HOU,1988,N,-2.711236916,0.469461539,-0.504665845,0.410185764,1,0,1,0,0
IND,1988,N,-2.237108796,-0.400774998,-1.183035303,-0.260634107,0,0,0,0,0
LAC,1988,N,-3.617919947,0.923589001,0.559798965,-0.082529923,0,0,0,0,0
LAL,1988,N,-1.961471752,-0.303222941,1.177080429,0.936954831,1,0,1,1,1
MIA,1988,N,-2.050958656,1.334459392,-1.470531586,-1.238441379,0,0,0,0,0
MIL,1988,N,-1.58372513,-0.114241272,-1.013194763,-0.134355467,1,0,1,1,0
NJN,1988,N,-1.500809662,0.463042109,-0.099676558,-0.295408995,0,0,0,0,0
NYK,1988,N,-3.459774576,0.23955513,-0.128669775,-0.632353109,1,0,1,1,0
PHI,1988,N,-1.640299232,-0.747765002,0.903858623,0.628502684,1,0,1,0,0
PHO,1988,N,-3.263725807,-1.067935005,0.403368926,0.777207987,1,0,1,1,0
POR,1988,N,-3.258002261,-0.399825121,-0.388152424,-0.441479057,0,0,1,0,0
SAC,1988,N,-1.483421327,-0.002651553,0.633060794,-0.264260088,0,0,0,0,0
SAS,1988,N,-3.648983269,1.219663861,-1.780153837,-0.931415813,0,0,0,0,0
SEA,1988,N,-2.484730534,0.205267767,-0.794262923,-0.345926031,1,0,1,1,0
UTA,1988,N,-1.903918406,0.853698855,-1.073619731,1.432160162,1,0,1,0,0
WA1,1988,N,-2.368145831,-0.459174323,-0.851179439,-0.318414206,0,0,0,0,0
ATL,1989,N,-1.216460933,-0.463970904,-0.644121384,0.178719821,0,0,0,0,0
BOS,1989,N,-0.925118552,-0.788757168,1.319476225,0.461585799,1,0,1,0,0
CHA,1989,N,-0.293570521,-0.277105193,-0.192393459,-1.419413943,0,0,0,0,0
CHI,1989,N,-0.808124816,-0.14349814,-0.324415346,-0.519295424,1,0,1,1,0
CLE,1989,N,-0.167456493,0.272193399,1.711900537,0.279364118,1,0,1,0,0
DAL,1989,N,0.205870859,0.087535538,0.32330484,0.07806071,1,0,1,0,0
DEN,1989,N,-3.007468976,-0.83824823,-0.143234826,-0.462400253,1,0,1,0,0
DET,1989,N,0.014395707,-0.585294474,-0.691315104,-0.028499536,1,1,1,1,1
GSW,1989,N,-4.625331554,-0.682383275,-1.165977938,1.443968874,0,0,0,0,0
HOU,1989,N,-2.067684605,0.749591145,0.848785023,-0.074287945,0,0,1,0,0
IND,1989,N,-0.974650505,-1.011082079,-0.699874706,-0.078842498,1,0,1,0,0
LAC,1989,N,-1.600966461,0.654840206,-0.207522645,0.297850833,0,0,0,0,0
LAL,1989,N,-0.926304562,-0.33911303,0.609427294,0.704531578,1,0,1,1,0
MIA,1989,N,-1.903920935,0.663652553,-1.231079023,-1.409434394,0,0,0,0,0
MIL,1989,N,-1.579422878,-0.006803334,-1.567312574,-0.714249863,1,0,1,0,0
MIN,1989,N,0.628203403,0.571499229,-1.479965839,-0.889958212,0,0,0,0,0
NJN,1989,N,-1.617737604,0.891729647,-0.959664184,-0.190834714,0,0,0,0,0
NYK,1989,N,-1.563326103,0.156342712,0.951908036,0.307232455,1,0,1,1,0
ORL,1989,N,-3.767629429,-0.999898713,-0.642086293,0.770890927,0,0,0,0,0
PHI,1989,N,-0.790799088,-0.557538368,0.557925687,0.751187095,1,0,1,1,0
PHO,1989,N,-2.440767585,-0.722396636,0.511907446,1.52393767,1,0,1,1,0
POR,1989,N,-3.050309793,-0.586626516,-1.210789856,0.628869859,1,0,1,1,1
SAC,1989,N,-0.088594258,-0.313838889,0.212795904,-0.659812003,0,0,0,0,0
SAS,1989,N,-1.416995145,0.692131284,-0.024233587,0.846758393,1,0,1,1,0
SEA,1989,N,-0.635845238,-0.268510282,-1.497654675,-0.908091029,0,0,0,0,0
UTA,1989,N,-1.14613122,0.095507628,-1.386329109,0.450349368,1,0,1,0,0
WA1,1989,N,-1.501186026,-0.659128389,0.468654213,-0.42033435,0,0,0,0,0
ATL,1990,N,-1.635665002,-0.567926746,0.655562691,0.843027027,1,0,1,0,0
BOS,1990,N,-0.905674656,0.126839262,1.806304646,0.245241939,1,0,1,1,0
CHA,1990,N,-1.085445069,-0.073689767,-0.936518684,-0.633972758,0,0,0,0,0
CHI,1990,N,-0.135384328,0.047340085,0.987032051,-0.278231656,1,1,1,1,1
CLE,1990,N,-0.029330855,0.048717357,1.430186759,0.155961716,0,0,0,0,0
DAL,1990,N,0.502960636,-0.121988977,0.189137643,-0.425281108,0,0,0,0,0
DEN,1990,N,-6.500543312,-0.887339096,-0.741104614,-0.574980285,0,0,0,0,0
DET,1990,N,1.029184749,-0.563428117,-0.218682424,-0.170612762,1,0,1,1,0
GSW,1990,N,-4.106480755,-0.829121502,-2.384070468,0.478398806,1,0,1,1,0
HOU,1990,N,-1.08427801,0.510173278,1.09323026,-0.362758341,1,0,1,0,0
IND,1990,N,-2.177167092,-1.056525919,-1.01210333,0.121426019,0,0,1,0,0
LAC,1990,N,-2.07295004,0.515285286,-0.619937868,0.025681425,0,0,0,0,0
LAL,1990,N,0.693529231,-0.123287796,2.193821974,0.430180379,1,0,1,1,1
MIA,1990,N,-2.024147551,0.705734496,-1.603102347,-0.605864747,0,0,0,0,0
MIL,1990,N,-1.021965788,0.332403393,-1.03444613,-0.478785814,1,0,1,0,0
MIN,1990,N,0.172727938,0.160792846,0.083795971,-0.24109133,0,0,0,0,0
NJN,1990,N,-2.284345418,1.349230935,-0.555663668,-0.068496245,0,0,0,0,0
NYK,1990,N,0.048721707,0.15731814,1.385772526,-0.033905775,0,0,1,0,0
ORL,1990,N,-1.976128715,-0.037127843,-1.142033075,0.566281605,0,0,0,0,0
PHI,1990,N,-0.369609586,0.055459975,1.910907479,0.944978784,1,0,1,1,0
PHO,1990,N,-2.529407533,-0.335379399,0.095687377,1.302406336,1,0,1,0,0
POR,1990,N,-2.269439005,-0.772528985,-0.332855894,0.565692079,1,0,1,1,0
SAC,1990,N,-0.535399656,0.414320067,-1.748753644,-0.527935375,0,0,0,0,0
SAS,1990,N,-1.640558448,0.454251056,0.166504532,1.057833155,1,0,1,0,0
SEA,1990,N,-0.916181393,0.539006813,-1.112250183,-0.792663526,0,0,1,0,0
UTA,1990,N,-0.211976523,-0.00616604,-0.166448379,0.865742736,1,0,1,1,0
WA1,1990,N,-0.892103663,0.412194729,0.403210842,-0.407808773,0,0,0,0,0
ATL,1991,N,-0.985637793,0.050525154,1.878355013,-0.182712973,0,0,0,0,0
BOS,1991,N,0.0493694,0.166311215,1.598235861,0.053483665,1,0,1,1,0
CHA,1991,N,-2.242178681,-0.267764913,1.162790484,-0.258322993,0,0,0,0,0
CHI,1991,N,0.198866337,-0.089050302,1.323549524,0.200730866,1,1,1,1,1
CLE,1991,N,-0.407816591,0.022954448,2.713484991,1.380726457,1,0,1,1,0
DAL,1991,N,0.117571068,0.143912891,-0.021133344,-0.38202774,0,0,0,0,0
DEN,1991,N,-1.292572508,1.354819576,-0.996986161,-0.463200976,0,0,0,0,0
DET,1991,N,1.247712125,0.110554452,1.343893757,0.157120831,1,0,1,0,0
GSW,1991,N,-3.676502636,-0.408019805,-0.840937644,0.34616989,1,0,1,0,0
HOU,1991,N,-0.136344943,0.687215469,1.739193192,0.07019219,1,0,0,0,0
IND,1991,N,-2.854034673,-0.648342249,-1.003163382,0.126780074,0,0,1,0,0
LAC,1991,N,-0.689145999,0.792024291,0.0342959,0.117589009,1,0,1,0,0
LAL,1991,N,0.587749509,0.259298693,1.884707234,0.341626102,1,0,1,0,0
MIA,1991,N,-1.112167469,0.076260149,-0.041246012,0.255877701,0,0,1,0,0
MIL,1991,N,-0.891789925,0.565383982,0.198888632,-0.560036929,0,0,0,0,0
MIN,1991,N,-0.633074166,0.566100658,0.598104572,-0.344001943,0,0,0,0,0
NJN,1991,N,-1.666883642,1.338507888,0.792954323,-0.334131918,0,0,1,0,0
NYK,1991,N,0.547602097,0.200249889,0.091556811,-0.450803972,1,0,1,1,0
ORL,1991,N,-1.212165817,0.321863425,-0.897591874,0.010486606,0,0,0,0,0
PHI,1991,N,0.381875794,0.587006877,1.685261303,0.689903429,0,0,0,0,0
PHO,1991,N,-1.846269081,0.006668775,0.527650718,0.977703313,1,0,1,1,0
POR,1991,N,-1.952540853,-0.064897187,-0.495071777,0.535711109,1,0,1,1,1
SAC,1991,N,-1.838808999,1.040770491,0.777950001,0.455508955,0,0,0,0,0
SAS,1991,N,-0.664400326,1.02971943,0.863708443,0.872275294,1,0,1,0,0
SEA,1991,N,-1.009885051,0.447240721,-1.111316426,0.02082297,1,0,1,1,0
UTA,1991,N,-0.84979433,0.021927593,0.492858951,1.205752814,1,0,1,1,0
WA1,1991,N,-0.517182968,0.459448881,0.723775044,-0.417709634,0,0,0,0,0
ATL,1992,N,-1.009250069,-0.072908679,0.8605696,-0.117389612,1,0,1,0,0
BOS,1992,N,0.246176921,0.013195696,0.418781246,-0.334271798,1,0,1,0,0
CHA,1992,N,-1.915879639,-0.450224301,1.472253487,0.880805669,1,0,1,1,0
CHI,1992,N,0.614939394,0.285903277,0.867691131,-0.420650763,1,1,1,1,1
CLE,1992,N,0.342860641,-0.138674318,2.412633004,0.893140898,1,0,1,1,0
DAL,1992,N,-2.162026845,0.110078515,-3.091771155,-0.778540312,0,0,0,0,0
DEN,1992,N,-2.124151649,0.587595127,-0.866175415,0.653398988,0,0,0,0,0
DET,1992,N,0.864014032,-0.220122259,1.403011112,-0.420492049,0,0,0,0,0
GSW,1992,N,-2.377609989,-0.068548843,-0.960609337,0.301224269,0,0,0,0,0
HOU,1992,N,0.470827875,0.556223793,1.735411523,0.46149279,1,0,1,1,0
IND,1992,N,-1.68432719,-0.634855745,-1.302823222,0.295653578,0,0,1,0,0
LAC,1992,N,-1.717965354,0.671141722,-0.164373219,-0.010353522,0,0,1,0,0
LAL,1992,N,-0.574225962,0.210330976,0.805991723,0.371553453,0,0,1,0,0
MIA,1992,N,-0.675904041,-0.266974023,-1.608723535,0.591093712,0,0,0,0,0
MIL,1992,N,-0.935239389,0.787697665,-0.733784771,-0.490329982,0,0,0,0,0
MIN,1992,N,-0.513830363,0.329006382,-1.377478912,0.171022828,0,0,0,0,0
NJN,1992,N,-0.736826873,0.793232854,0.032303629,0.344648573,1,0,1,0,0
NYK,1992,N,-0.537702822,0.096330837,-1.842936213,0.015578449,1,0,1,1,0
ORL,1992,N,-0.923896885,-0.212064763,-0.249567014,0.918467194,0,0,0,0,0
PHI,1992,N,-1.326479269,0.733811087,2.244283396,1.288171619,0,0,0,0,0
PHO,1992,N,-1.785064205,0.159961077,0.695198666,1.25115349,1,0,1,1,1
POR,1992,N,-1.761013024,-0.07182829,-0.18918518,1.091490301,1,0,1,0,0
SAC,1992,N,-2.739828036,-0.005551991,-1.997239176,0.044288452,0,0,0,0,0
SAS,1992,N,-0.087696903,-0.23049531,0.428322988,1.12331227,1,0,1,1,0
SEA,1992,N,-0.633512507,0.594632367,-0.81393623,-0.083723022,1,0,1,1,0
UTA,1992,N,-1.08907142,-0.192780689,-0.942677891,0.731466775,1,0,1,0,0
WA1,1992,N,-0.427619436,0.061924494,0.938049623,-0.127552794,0,0,0,0,0
ATL,1993,N,0.6555786,1.210940019,2.22753184,0.172266916,1,0,1,1,0
BOS,1993,N,-0.043105578,0.304677542,0.601118587,-0.252897039,0,0,0,0,0
CHA,1993,N,-0.557818922,0.042178916,1.472472762,0.563252636,0,0,0,0,0
CHI,1993,N,1.55537822,0.953369332,0.93371084,-0.659940812,1,0,1,1,0
CLE,1993,N,0.731500778,0.551507617,0.644131792,0.763452096,1,0,1,0,0
DAL,1993,N,0.059860806,1.192301059,-1.148577289,-1.001382974,0,0,0,0,0
DEN,1993,N,-0.71103002,1.249070569,-0.78392937,1.072462753,1,0,1,1,0
DET,1993,N,0.763056324,0.181157264,0.081394239,-1.066763514,0,0,0,0,0
GSW,1993,N,-1.722790737,0.862462282,1.40305476,0.488984296,1,0,1,0,0
HOU,1993,N,0.947339,0.894112582,2.062920633,0.193142248,1,1,1,1,1
IND,1993,N,-0.467359785,0.745579545,-1.289873212,0.445792368,1,0,1,1,0
LAC,1993,N,-1.692978519,1.058677397,1.31216524,0.204178932,0,0,0,0,0
LAL,1993,N,-0.561695838,0.587736429,0.66238237,-0.47485613,0,0,0,0,0
MIA,1993,N,-0.381992029,0.238243608,-1.630745016,0.256674694,1,0,1,0,0
MIL,1993,N,0.048595286,0.978649277,-0.26838666,-0.104204453,0,0,0,0,0
MIN,1993,N,-0.536554945,0.662136433,-1.385993242,0.448628594,0,0,0,0,0
NJN,1993,N,-1.095539587,1.069949006,0.77492037,1.739365968,1,0,1,0,0
NYK,1993,N,0.675799806,0.78201694,-0.799438224,-0.320153771,1,0,1,1,1
ORL,1993,N,-0.398987983,0.566357484,0.951514211,0.76894346,1,0,1,0,0
PHI,1993,N,0.341268896,0.982562391,2.818080643,0.644989093,0,0,0,0,0
PHO,1993,N,-0.730229982,0.398672102,1.442982352,0.866893254,1,0,1,1,0
POR,1993,N,-1.261362043,-0.084239685,0.313073394,0.722573984,1,0,1,0,0
SAC,1993,N,-1.228360231,0.288296376,-0.632802193,0.249366652,0,0,0,0,0
SAS,1993,N,1.652670609,0.362645267,1.421083183,0.846279076,1,0,1,0,0
SEA,1993,N,-0.522262317,1.026927887,-1.387402618,0.143547395,1,0,1,0,0
UTA,1993,N,-0.176242161,0.15073045,-1.40221625,0.524388258,1,0,1,1,0
WA1,1993,N,0.070010839,0.771901383,0.868922648,-0.013166774,0,0,0,0,0
ATL,1994,N,2.166829913,1.019226872,0.694046646,0.363729557,1,0,1,0,0
BOS,1994,N,0.056110049,0.086469538,-0.496552878,0.804197596,0,0,1,0,0
CHA,1994,N,1.909671151,0.273097108,1.041624468,1.075195453,1,0,1,0,0
CHI,1994,N,0.839615316,0.844239347,-0.874827713,0.040648331,1,0,1,1,0
CLE,1994,N,3.604667309,1.084757676,0.082434309,0.690691784,1,0,1,0,0
DAL,1994,N,-0.474236129,0.463574871,0.993878991,1.183288245,0,0,0,0,0
DEN,1994,N,0.324005092,0.736516337,-1.321631743,1.50824769,0,0,1,0,0
DET,1994,N,0.186165364,0.57466117,-1.963602496,0.126406816,0,0,0,0,0
GSW,1994,N,-1.518059195,0.293105953,0.535028923,1.501732704,0,0,0,0,0
HOU,1994,N,0.911223362,1.006928972,1.416002064,1.393219737,1,1,1,1,1
IND,1994,N,1.063087175,0.788538455,-1.097729846,1.396363766,1,0,1,1,0
LAC,1994,N,-0.162700195,0.902156941,-1.757383224,-0.021254022,0,0,0,0,0
LAL,1994,N,-0.85711983,0.846116979,0.607473373,1.219360409,1,0,1,1,0
MIA,1994,N,0.769032323,0.240149016,-1.150229014,0.640847864,0,0,0,0,0
MIL,1994,N,0.729161161,0.712270106,-0.318312768,1.025769178,0,0,0,0,0
MIN,1994,N,0.315373285,0.662508809,-2.45353618,1.26060735,0,0,0,0,0
NJN,1994,N,0.30044258,0.804295035,0.367531796,2.002273266,0,0,0,0,0
NYK,1994,N,1.304653209,0.254394262,-1.651960091,0.348175592,1,0,1,1,0
ORL,1994,N,-0.59723402,0.080932316,0.698767869,1.695413478,1,0,1,1,1
PHI,1994,N,1.067370427,1.376466093,-0.031962316,1.322810761,0,0,0,0,0
PHO,1994,N,-0.52202394,-0.518417698,0.114840751,1.628657606,1,0,1,1,0
POR,1994,N,0.195092001,0.432515003,-1.169637333,0.985689449,1,0,1,0,0
SAC,1994,N,-0.115161522,1.078515517,-1.939831007,0.857196157,0,0,0,0,0
SAS,1994,N,-0.027634457,0.063732901,0.017895119,1.947265989,1,0,1,1,0
SEA,1994,N,-1.194742142,0.478329148,-2.291846149,1.700542144,1,0,1,0,0
UTA,1994,N,0.14896097,0.147162092,-2.5969025,1.832973,1,0,1,0,0
WA1,1994,N,0.465098926,0.433627972,-0.617138426,0.324499656,0,0,0,0,0
ATL,1995,N,2.262831834,0.927401994,0.53249153,0.537250052,1,0,1,1,0
BOS,1995,N,-0.544799488,0.290533356,-0.956773627,0.98941253,0,0,0,0,0
CHA,1995,N,1.675832617,-0.277940223,0.312460351,1.115794418,0,0,0,0,0
CHI,1995,N,1.714787113,0.561699424,0.479795293,0.425075306,1,1,1,1,1
CLE,1995,N,4.683831733,0.972237776,-0.117231904,0.49227237,1,0,1,0,0
DAL,1995,N,-0.386854769,0.79208798,0.997045042,0.848705317,0,0,0,0,0
DEN,1995,N,1.043983783,0.563800693,-0.087921746,1.749209423,0,0,0,0,0
DET,1995,N,2.788422404,0.393384034,-0.817310842,1.453041885,1,0,1,0,0
GSW,1995,N,-0.004262865,0.665143873,-0.07971356,1.512422086,0,0,0,0,0
HOU,1995,N,0.879107152,0.649184875,0.908816917,1.536412591,1,0,1,1,0
IND,1995,N,1.267992962,0.258808414,-2.204648948,1.351061908,1,0,1,0,0
LAC,1995,N,1.127214052,0.824258735,-1.517340361,0.088560017,0,0,0,0,0
LAL,1995,N,1.017902348,0.951016361,1.097407663,1.348875032,1,0,1,0,0
MIA,1995,N,1.064567969,0.721001621,-2.32874522,0.836080626,1,0,1,0,0
MIL,1995,N,2.180436157,0.377586561,-0.59174073,0.36999428,0,0,0,0,0
MIN,1995,N,0.120140495,0.918568913,-1.688104189,1.706773332,0,0,0,0,0
NJN,1995,N,0.588690822,1.587887529,0.095156298,2.286040596,0,0,0,0,0
NYK,1995,N,2.28896489,0.616490084,-0.366462065,0.327670641,1,0,1,1,0
ORL,1995,N,1.244067269,0.2523799,0.611794467,1.288818546,1,0,1,1,0
PHI,1995,N,0.88795218,1.141141411,0.094231205,1.617627458,0,0,0,0,0
PHO,1995,N,0.22748053,-0.312561853,-0.135886922,2.24667483,0,0,1,0,0
POR,1995,N,0.931108432,0.720095784,-0.300269226,1.405863828,1,0,1,0,0
SAC,1995,N,-0.43915587,0.865964709,-2.66517873,1.249262226,0,0,1,0,0
SAS,1995,N,0.524290269,0.607567755,0.484231866,1.840705127,1,0,1,1,0
SEA,1995,N,-0.011682666,1.126656721,-1.432344451,1.49071844,1,0,1,1,1
TOR,1995,N,0.299130875,1.42083247,-1.038044311,0.656798353,0,0,0,0,0
UTA,1995,N,1.002597031,0.242944806,-2.270275275,1.627481819,1,0,1,1,0
VAN,1995,N,1.585739361,1.413636382,-0.369052455,0.419115673,0,0,0,0,0
WA1,1995,N,0.623564562,0.61466094,-1.072345998,0.407612178,0,0,0,0,0
ATL,1996,N,3.538982073,1.521063843,1.171234691,1.091023672,1,0,1,1,0
BOS,1996,N,-0.289931998,0.938613302,-0.622890518,0.958434889,0,0,0,0,0
CHA,1996,N,2.669069313,0.236864988,0.835530411,1.00112923,1,0,1,0,0
CHI,1996,N,2.255141166,0.683214789,1.890112682,0.518597118,1,1,1,1,1
CLE,1996,N,4.415548137,1.196544307,-1.391560708,-0.090867166,1,0,0,0,0
DAL,1996,N,2.435687717,1.467981684,0.179445459,0.789924536,0,0,0,0,0
DEN,1996,N,1.281475843,0.825992078,1.014656773,1.442391712,0,0,0,0,0
DET,1996,N,4.398161037,0.529012533,0.747881045,1.048884488,1,0,1,0,0
GSW,1996,N,0.651240379,0.710742725,-0.142881311,1.485091366,0,0,0,0,0
HOU,1996,N,2.060400667,0.992349795,1.530114922,1.207630592,1,0,1,1,0
IND,1996,N,1.539092076,0.892057159,-1.419969312,1.431259509,0,0,0,0,0
LAC,1996,N,1.027173635,1.283259024,-1.154087505,0.72453006,0,0,1,0,0
LAL,1996,N,0.74596681,1.112195816,-0.029690757,1.762248036,1,0,1,1,0
MIA,1996,N,2.594729604,1.40114646,-0.733597241,0.590801862,1,0,1,1,0
MIL,1996,N,2.1373623,0.673727141,-0.944802489,0.28705674,0,0,0,0,0
MIN,1996,N,1.341102936,1.101658698,-0.627123473,1.529751854,0,0,1,0,0
NJN,1996,N,0.372888814,1.340257317,0.051499784,1.407001772,0,0,0,0,0
NYK,1996,N,1.877048089,0.899199172,-1.779861697,0.573666988,1,0,1,1,0
ORL,1996,N,2.478217333,1.474355523,0.715746652,0.76216299,1,0,1,0,0
PHI,1996,N,-0.619815762,1.062992698,0.045644132,2.078301627,0,0,0,0,0
PHO,1996,N,1.117350756,0.200085397,0.670881447,1.334919012,0,0,1,0,0
POR,1996,N,1.338519987,0.895940536,-1.436268002,1.168153405,1,0,1,0,0
SAC,1996,N,1.194861002,0.759777334,-0.987916251,0.488087758,0,0,0,0,0
SAS,1996,N,2.571662238,1.382347284,-0.016838779,1.084958666,0,0,0,0,0
SEA,1996,N,1.432803538,1.40666567,-0.816287786,1.798565765,1,0,1,1,0
TOR,1996,N,1.211330731,1.46198912,-0.629263307,0.990972007,0,0,0,0,0
UTA,1996,N,0.916794253,0.389424348,-2.306151524,1.645710892,1,0,1,1,1
VAN,1996,N,2.210507234,1.744486664,0.788240573,0.568251398,0,0,0,0,0
WA1,1996,N,1.74738449,0.893607753,0.487679095,0.593483351,1,0,1,0,0
ATL,1997,N,2.206716642,0.985798165,0.69660859,1.457738646,1,0,1,0,0
BOS,1997,N,0.149415785,1.386064262,-2.748532672,-1.238508465,0,0,0,0,0
CHA,1997,N,2.104564901,0.431363896,-0.047057323,0.641451841,1,0,1,1,0
CHI,1997,N,2.141873607,0.980731898,0.691324849,0.225557766,1,1,1,1,1
CLE,1997,N,1.542951412,1.614600132,-1.460752087,0.462848203,1,0,1,0,0
DAL,1997,N,2.440466092,1.432609826,1.843792933,0.292630747,0,0,0,0,0
DEN,1997,N,1.222572369,1.176806118,-1.875112057,0.811300051,0,0,0,0,0
DET,1997,N,2.06058769,0.807848559,-0.72750987,0.771518047,0,0,0,0,0
GSW,1997,N,0.874056532,1.515682884,0.208902649,0.209051897,0,0,0,0,0
HOU,1997,N,1.843751611,0.641870337,0.757651002,0.698254788,0,0,1,0,0
IND,1997,N,2.284413813,0.674550442,-0.542667264,0.225209148,1,0,1,1,0
LAC,1997,N,1.097588597,0.929757553,-0.16837666,0.289837859,0,0,0,0,0
LAL,1997,N,-0.661048322,0.524666079,-0.939139987,2.062438083,1,0,1,1,0
MIA,1997,N,2.056705573,0.930158808,-0.957735867,0.278017959,1,0,1,0,0
MIL,1997,N,1.324868812,1.081695405,-1.737104437,-0.101174969,0,0,0,0,0
MIN,1997,N,0.335948695,0.153730373,-0.178897246,1.265003735,1,0,1,0,0
NJN,1997,N,0.308072278,0.828953224,-1.274645857,0.662524568,1,0,1,0,0
NYK,1997,N,2.99850952,0.704775027,-1.200130691,-0.607298609,1,0,1,1,0
ORL,1997,N,2.469428628,1.557274516,0.840202975,0.634113896,0,0,0,0,0
PHI,1997,N,0.549558649,1.593717324,-1.153455496,1.273451711,0,0,0,0,0
